registered_number,route,component,page_file,title,route_state,sequence_number,source_bytes,dependency_count,primary_component,dependency_files,missing_imports,image_media_signals,interaction_signals,personal_voice_signals,design_tokens,error_signals,generic_signals,unknown_navigation_targets,boredom_risk,source_fingerprint,gift_present,memory,gift,compliment,message,surprise
"11","/quiz","QuizPage","src/pages/QuizPage.jsx","The One Game Abu Made for Samjhana","sequence page 8","8","12352","2","page-specific JSX","src/pages/QuizPage.jsx | src/utils/mediaUtils.js","","31","12","17","bg-[ text-white rounded-[2rem] shadow-2xl border-cyan-200/20 bg-white/10 text-pink-400 text-5xl font-black text-lg","","","","LOW","ce22b3ae08c8","true","the day “Abhay” became “Abu” because you made it yours","a tiny memory ticket from Nepalgunj","You are the person behind every name Abu says with a softer voice.","Samjhana, my Sanu, Abu made the Quiz room around the day “Abhay” became “Abu” because you made it yours. A small surprise: Abu remembers more than he says.","Keep this for the next time distance feels loud. You are the person behind every name Abu says with a softer voice. This page is Abu’s a voice-note moment for the nights you miss h"
"12","/stars","StarsPage","src/pages/StarsPage.jsx","The Sky Map Abu Keeps for You","sequence page 9","9","321584","4","page-specific JSX","src/pages/StarsPage.jsx | src/utils/mediaUtils.js | src/data/pageGiftData.js | src/data/pageNames.js","","33","6","4138","bg-[ text-[ text-sky-200 text-xs font-black text-6xl text-8xl text-lg text-sky-100/60 rounded-full","","","","LOW","d31d852e1b94","true","dropping you at the Language Institute before Japan","a soft landing place for a difficult day","Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves.","Samjhana, my Bhoot, Abu made the Stars room around dropping you at the Language Institute before Japan. Keep this for the next time distance feels loud.","Read this slowly, Sanu. It was made for your exact heart. Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves. This page is Abu’s a bouquet "
"13","/time-capsule","TimeCapsulePage","src/pages/TimeCapsulePage.jsx","Open When You Miss Abu","sequence page 10","10","98558","8","OpenWhenLetters","src/pages/TimeCapsulePage.jsx | src/components/OpenWhenLetters.jsx | src/data/birthdayData.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js","","30","58","230","text-center rounded-full bg-rose-100 border-rose-200 text-rose-600 font-bold text-xs shadow-sm text-pink-500 text-2xl","","","","LOW","a5cfd6bfffd7","true","the future light-blue scooter ride toward Bardiya","a birthday blessing written in Abu’s handwriting","Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight.","Samjhana, my Fuchee, Abu made the Time Capsule room around the future light-blue scooter ride toward Bardiya. The gift inside is not expensive; it is specific to you.","This is a reminder that you are loved in the details. Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight. This page is Abu’s a tiny cinema ticket for one m"
"14","/scratch-surprises","ScratchSurprisePage","src/pages/ScratchSurprisePage.jsx","Small Surprises Under the Surface","registered but not in sequence","","98048","8","ScratchCard","src/pages/ScratchSurprisePage.jsx | src/components/ScratchCard.jsx | src/data/birthdayData.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js","","30","49","228","rounded-3xl border-2 border-pink-200 shadow-xl text-center bg-white text-xs font-bold font-ui rounded-full","","","","LOW","0d535e083aef","true","the day “Abhay” became “Abu” because you made it yours","a small surprise box with one true thing inside","You are the person behind every name Abu says with a softer voice.","Samjhana, my Runchi, Abu made the Scratch Surprises room around the day “Abhay” became “Abu” because you made it yours. Keep this for the next time distance feels loud.","Read this slowly, Sanu. It was made for your exact heart. You are the person behind every name Abu says with a softer voice. This page is Abu’s a birthday blessing written in Abu’s"
"15","/compliment-jar","ComplimentJarPage","src/pages/ComplimentJarPage.jsx","The Compliments Abu Saves","sequence page 11","11","12611","2","page-specific JSX","src/pages/ComplimentJarPage.jsx | src/utils/mediaUtils.js","","31","8","13","bg-[ text-[ rounded-[2.5rem] text-amber-50 text-amber-300 text-xs font-black text-5xl text-amber-100/75 rounded-2xl","","","","LOW","805358ab1035","true","late-night video calls between Nepalgunj and Sakai, Osaka","a compliment saved for your next tired day","You make ordinary food, ordinary calls, and ordinary rooms feel like memories.","Samjhana, my Sanu, Abu made the Compliment Jar room around late-night video calls between Nepalgunj and Sakai, Osaka. Open this when you miss Abu.","The secret is simple: Abu would still choose you in every version of the story. You make ordinary food, ordinary calls, and ordinary rooms feel like memories. This page is Abu’s a "
"16","/catcher-game","CatcherGamePage","src/pages/CatcherGamePage.jsx","Hearts Abu Would Catch for You","registered but not in sequence","","109663","10","HeartCatcherGame","src/pages/CatcherGamePage.jsx | src/components/HeartCatcherGame.jsx | src/components/WorldShell.jsx | src/themes.js | src/data/birthdayData.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js","","30","63","229","font-ui text-sm font-bold text-gray-800 text-rose-600 rounded-full bg-gray-100 text-gray-700 bg-gray-200 rounded-3xl","","","","LOW","c53a74dc61ad","true","the future light-blue scooter ride toward Bardiya","a promise map for the places we still want to see","Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight.","Samjhana, my Fuchee, Abu made the Catcher Game room around the future light-blue scooter ride toward Bardiya. Open this when you miss Abu.","The secret is simple: Abu would still choose you in every version of the story. Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight. This page is Abu’s a ti"
"17","/memory-match","MemoryMatchPage","src/pages/MemoryMatchPage.jsx","The Memories Abu Recognizes","registered but not in sequence","","109384","10","MemoryMatchGame","src/pages/MemoryMatchPage.jsx | src/components/MemoryMatchGame.jsx | src/components/WorldShell.jsx | src/themes.js | src/data/birthdayData.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js","","30","65","229","font-ui text-xs font-bold text-gray-700 text-rose-600 text-green-600 rounded-full bg-gray-100 bg-gray-200 rounded-2xl","","","","LOW","84b381e25e0d","true","late-night video calls between Nepalgunj and Sakai, Osaka","a birthday blessing written in Abu’s handwriting","You make ordinary food, ordinary calls, and ordinary rooms feel like memories.","Samjhana, my Babe, Abu made the Memory Match room around late-night video calls between Nepalgunj and Sakai, Osaka. The gift inside is not expensive; it is specific to you.","This is a reminder that you are loved in the details. You make ordinary food, ordinary calls, and ordinary rooms feel like memories. This page is Abu’s a tiny cinema ticket for one"
"18","/quote-generator","QuoteGeneratorPage","src/pages/QuoteGeneratorPage.jsx","Words Abu Wants You to Hear","sequence page 12","12","95058","8","TypewriterQuotes","src/pages/QuoteGeneratorPage.jsx | src/components/TypewriterQuotes.jsx | src/data/birthdayData.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js","","30","48","228","text-center rounded-full bg-rose-100 border-rose-200 text-rose-600 font-bold text-xs shadow-sm font-ui text-pink-500","","","","LOW","bca69bfeb650","true","the future light-blue scooter ride toward Bardiya","a compliment saved for your next tired day","Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight.","Samjhana, my Sanu, Abu made the Quote Generator room around the future light-blue scooter ride toward Bardiya. Open this when you miss Abu.","The secret is simple: Abu would still choose you in every version of the story. Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight. This page is Abu’s a Sa"
"19","/mystery-gifts","MysteryGiftsPage","src/pages/MysteryGiftsPage.jsx","Four Gifts for Samjhana","sequence page 13","13","99114","9","MysteryGiftBoxes","src/pages/MysteryGiftsPage.jsx | src/components/MysteryGiftBoxes.jsx | src/data/birthdayData.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js | src/utils/whatsappHelper.js","","30","59","231","text-center rounded-full bg-rose-100 border-rose-200 text-rose-600 font-bold text-xs shadow-sm font-ui text-pink-500","","","","LOW","5ce242350332","true","late-night video calls between Nepalgunj and Sakai, Osaka","a private letter from Abu","You make ordinary food, ordinary calls, and ordinary rooms feel like memories.","Samjhana, my Babe, Abu made the Mystery Gifts room around late-night video calls between Nepalgunj and Sakai, Osaka. This is a reminder that you are loved in the details.","Open this when you miss Abu. You make ordinary food, ordinary calls, and ordinary rooms feel like memories. This page is Abu’s a promise folded into a keepsake card for Runchi."
"20","/bouquet-reasons","BouquetReasonsPage","src/pages/BouquetReasonsPage.jsx","A Bouquet of Reasons Abu Loves You","registered but not in sequence","","321327","4","page-specific JSX","src/pages/BouquetReasonsPage.jsx | src/utils/mediaUtils.js | src/data/pageGiftData.js | src/data/pageNames.js","","32","6","4135","bg-[ text-[ text-xs font-black text-rose-500 text-6xl text-8xl text-lg rounded-[2rem] shadow-xl","","","","LOW","36bf59854808","true","Bageshwori Temple and the prayers we carried home","a compliment saved for your next tired day","Your smile makes Abu forget what he was worried about.","Samjhana, my Sanzu, Abu made the Bouquet of Reasons room around Bageshwori Temple and the prayers we carried home. Open this when you miss Abu.","The secret is simple: Abu would still choose you in every version of the story. Your smile makes Abu forget what he was worried about. This page is Abu’s a Sakai-to-Nepalgunj dista"
"21","/passport","PassportPage","src/pages/PassportPage.jsx","Our Nepalgunj-to-Sakai Ticket","sequence page 14","14","11831","2","page-specific JSX","src/pages/PassportPage.jsx | src/utils/mediaUtils.js","","31","6","14","bg-[ text-[ rounded-[2rem] border-2 border-dashed border-[ bg-white text-blue-700 text-xs font-black","","","","LOW","7cef503d8363","true","dropping you at the Language Institute before Japan","a tiny memory ticket from Nepalgunj","Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves.","Samjhana, my Samjhana, Abu made the Passport room around dropping you at the Language Institute before Japan. A small surprise: Abu remembers more than he says.","Keep this for the next time distance feels loud. Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves. This page is Abu’s a voice-note moment"
"22","/message-bottle","BottlePage","src/pages/BottlePage.jsx","A Message Abu Sent Across the Water","sequence page 15","15","110165","10","MessageInBottle","src/pages/BottlePage.jsx | src/components/MessageInBottle.jsx | src/components/WorldShell.jsx | src/themes.js | src/data/birthdayData.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js","","30","64","229","rounded-3xl bg-gradient-to-b from-cyan-900 via-blue-900 to-indigo-950 border-2 border-cyan-400 shadow-2xl text-cyan-300 text-center","","","","LOW","85d794270d12","true","Water Park laughter and the day moving too quickly","a quiet “open when” note for your pocket","Your “huss” can make a long day feel close again.","Samjhana, my Fuchee, Abu made the Message Bottle room around Water Park laughter and the day moving too quickly. This page is a soft place to land when your day is heavy.","A small surprise: Abu remembers more than he says. Your “huss” can make a long day feel close again. This page is Abu’s a promise map for the places we still want to see for Samjha"
"23","/music-box","MusicBoxPage","src/pages/MusicBoxPage.jsx","The Song Abu Hears in Your Name","sequence page 16","16","112378","10","LoveMusicBox","src/pages/MusicBoxPage.jsx | src/components/LoveMusicBox.jsx | src/components/WorldShell.jsx | src/themes.js | src/data/birthdayData.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js","","30","66","232","rounded-3xl border-2 border-purple-300 shadow-2xl bg-gradient-to-b from-amber-100 via-amber-50 to-pink-50 text-center text-rose-500","","","","LOW","9a9d0e60b3f4","true","Bageshwori Temple and the prayers we carried home","a voice-note moment for the nights you miss home","Your smile makes Abu forget what he was worried about.","Samjhana, my Babe, Abu made the Music Box room around Bageshwori Temple and the prayers we carried home. The secret is simple: Abu would still choose you in every version of the st","The gift inside is not expensive; it is specific to you. Your smile makes Abu forget what he was worried about. This page is Abu’s a small surprise box with one true thing inside f"
"24","/lanterns","LanternsPage","src/pages/LanternsPage.jsx","Wishes Abu Sends Up for You","sequence page 17","17","1554","1","page-specific JSX","src/pages/LanternsPage.jsx","","0","2","6","bg-gradient-to-b from-[ to-[ text-white text-center text-amber-200 text-xs font-black text-6xl text-lg","","interaction with low media","","HIGH","6337412444e2","true","the dream of Pokhara, Manang, and Mustang waiting for us","a tiny memory ticket from Nepalgunj","You are beautiful in the moments you never think to pose for.","Samjhana, my Sanzu, Abu made the Lanterns room around the dream of Pokhara, Manang, and Mustang waiting for us. A small surprise: Abu remembers more than he says.","Keep this for the next time distance feels loud. You are beautiful in the moments you never think to pose for. This page is Abu’s a voice-note moment for the nights you miss home f"
"25","/photo-booth","PhotoBoothPage","src/pages/PhotoBoothPage.jsx","The Photo Room for Sanzu","sequence page 18","18","56597","9","PolaroidPhotoBooth","src/pages/PhotoBoothPage.jsx | src/components/PolaroidPhotoBooth.jsx | src/components/WorldShell.jsx | src/themes.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js","","28","60","35","bg-white border-2 border-pink-200 rounded-2xl shadow-2xl text-left rounded-xl bg-pink-50 border-gray-200 text-3xl","","","","LOW","b3e96de15600","true","Bageshwori Temple and the prayers we carried home","a birthday blessing written in Abu’s handwriting","Your smile makes Abu forget what he was worried about.","Samjhana, my Samjhana, Abu made the Photo Booth room around Bageshwori Temple and the prayers we carried home. The gift inside is not expensive; it is specific to you.","This is a reminder that you are loved in the details. Your smile makes Abu forget what he was worried about. This page is Abu’s a tiny cinema ticket for one moment Abu would replay"
"26","/promise-tree","PromiseTreePage","src/pages/PromiseTreePage.jsx","The Promises Abu Planted","sequence page 19","19","109844","10","SakuraPromiseTree","src/pages/PromiseTreePage.jsx | src/components/SakuraPromiseTree.jsx | src/components/WorldShell.jsx | src/themes.js | src/data/birthdayData.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js","","30","64","229","rounded-3xl bg-gradient-to-b from-pink-50 via-rose-50 to-pink-100 border-2 border-pink-300 shadow-2xl bg-amber-800 rounded-t-full","","","","LOW","673fd0060733","true","late-night video calls between Nepalgunj and Sakai, Osaka","a compliment saved for your next tired day","You make ordinary food, ordinary calls, and ordinary rooms feel like memories.","Samjhana, my Bebo, Abu made the Promise Tree room around late-night video calls between Nepalgunj and Sakai, Osaka. Open this when you miss Abu.","The secret is simple: Abu would still choose you in every version of the story. You make ordinary food, ordinary calls, and ordinary rooms feel like memories. This page is Abu’s a "
"27","/treasure-chest","TreasureChestPage","src/pages/TreasureChestPage.jsx","The Keepsake Abu Locked Away","sequence page 20","20","11481","2","page-specific JSX","src/pages/TreasureChestPage.jsx | src/utils/mediaUtils.js","","31","6","12","bg-[ text-amber-50 text-amber-300 text-xs font-black text-6xl rounded-[2rem] border-amber-200/20 bg-amber-100/10 text-left","","","","LOW","d736eef32e6f","true","the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home","a bouquet of words for your soft days","You make Abu want to become gentler, steadier, and more worthy of your trust.","Samjhana, my Bebo, Abu made the Treasure Chest room around the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. The gift inside is not expensive; it is specif","This is a reminder that you are loved in the details. You make Abu want to become gentler, steadier, and more worthy of your trust. This page is Abu’s a future postcard from the li"
"28","/love-slots","LoveSlotsPage","src/pages/LoveSlotsPage.jsx","The Little Luck Abu Wishes You","registered but not in sequence","","108621","10","LoveSlots","src/pages/LoveSlotsPage.jsx | src/components/LoveSlots.jsx | src/components/WorldShell.jsx | src/themes.js | src/data/birthdayData.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js","","30","61","230","rounded-3xl border-2 border-pink-300 shadow-2xl bg-gradient-to-b from-slate-900 to-indigo-950 text-white bg-slate-800 rounded-2xl","","","","LOW","a4691c517ac1","true","Bageshwori Temple and the prayers we carried home","a birthday blessing written in Abu’s handwriting","Your smile makes Abu forget what he was worried about.","Samjhana, my Samjhana, Abu made the Love Slots room around Bageshwori Temple and the prayers we carried home. The gift inside is not expensive; it is specific to you.","This is a reminder that you are loved in the details. Your smile makes Abu forget what he was worried about. This page is Abu’s a tiny cinema ticket for one moment Abu would replay"
"29","/horoscope","HoroscopePage","src/pages/HoroscopePage.jsx","Samjhana Written in the Stars","sequence page 21","21","1469","1","page-specific JSX","src/pages/HoroscopePage.jsx","","0","2","8","bg-[ text-white text-amber-300 text-xs font-black text-indigo-300 text-6xl rounded-[2rem] text-left border-amber-300","","interaction with low media","","HIGH","305f423081a3","true","the day “Abhay” became “Abu” because you made it yours","a tiny cinema ticket for one moment Abu would replay","You are the person behind every name Abu says with a softer voice.","Samjhana, my Babe, Abu made the Horoscope room around the day “Abhay” became “Abu” because you made it yours. Read this slowly, Sanu. It was made for your exact heart.","This page is a soft place to land when your day is heavy. You are the person behind every name Abu says with a softer voice. This page is Abu’s a private letter from Abu for Runchi"
"30","/love-calculator","LoveCalculatorPage","src/pages/LoveCalculatorPage.jsx","The Measureless Love Abu Feels","sequence page 22","22","99650","8","LoveCalculator","src/pages/LoveCalculatorPage.jsx | src/components/LoveCalculator.jsx | src/data/birthdayData.js | src/utils/mediaUtils.js | src/components/AudioController.jsx | src/store/useAppStore.js | src/config.ts | src/data/roomSequence.js","","30","65","250","text-center font-ui rounded-full bg-rose-100 text-rose-600 font-bold text-xs shadow-sm text-pink-500 text-2xl","","","","LOW","c678fa14647a","true","the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home","a Bageshwori memory pressed between two pages","You make Abu want to become gentler, steadier, and more worthy of your trust.","Samjhana, my Sanu, Abu made the Love Calculator room around the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. This is a reminder that you are loved in the ","Open this when you miss Abu. You make Abu want to become gentler, steadier, and more worthy of your trust. This page is Abu’s a quiet “open when” note for your pocket for Babe."
"31","/cooking-game","CookingGamePage","src/pages/CookingGamePage.jsx","A Birthday Table for Sanu","sequence page 23","23","1892","1","page-specific JSX","src/pages/CookingGamePage.jsx","","0","2","9","bg-[ text-[ text-orange-600 text-xs font-black text-orange-700 text-6xl text-lg to-Sakai rounded-3xl","","interaction with low media","","HIGH","3ab78bfc816f","true","the future light-blue scooter ride toward Bardiya","a promise map for the places we still want to see","Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight.","Samjhana, my Sanu, Abu made the Cooking Game room around the future light-blue scooter ride toward Bardiya. Open this when you miss Abu.","The secret is simple: Abu would still choose you in every version of the story. Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight. This page is Abu’s a ti"
